Participant,Label,GSR Mean,GSR SD,ID,Quad_Cat,POST_Valence,POST_Arousal
101,0,4.3825984934941395,0.37988899001615656,101,0,7.0,7.0
101,1,4.178658104535135,0.3985463420272934,101,1,6.333333333333333,1.0
101,2,4.44150617315058,0.3690292539114132,101,2,3.3333333333333335,2.0
101,3,4.336194394718406,0.32654294065227996,101,3,4.0,6.666666666666667
102,0,1.7066323316334822,0.07574842604678388,102,0,5.333333333333333,1.6666666666666667
102,1,1.6423170302084227,0.07476432685471143,102,1,5.0,2.0
102,2,2.640963756278643,0.11409770122035547,102,2,2.3333333333333335,2.3333333333333335
102,3,3.202720415674578,0.4239445344122816,102,3,1.0,9.0
103,0,24.037390756986436,1.0898283687942991,103,0,6.0,3.0
103,1,22.600037974705142,0.8345417585465217,103,1,7.666666666666667,2.3333333333333335
103,2,24.094430643117963,0.9190095131465118,103,2,1.6666666666666667,5.666666666666667
103,3,26.71177260249809,0.9466089745184313,103,3,3.0,6.333333333333333
104,0,4.792245291801037,0.7919268652984887,104,0,6.0,2.6666666666666665
104,1,3.290708712363847,0.1375020929643154,104,1,6.333333333333333,2.0
104,2,4.249568217736291,0.3548226507844798,104,2,2.6666666666666665,2.6666666666666665
104,3,4.632647707651173,0.8095854282367426,104,3,4.666666666666667,4.666666666666667
105,0,9.001506206921297,0.9678825713829203,105,0,6.666666666666667,4.666666666666667
105,1,9.356767941387645,1.336175786651986,105,1,6.0,2.0
105,2,9.894665428068793,0.5127168238453055,105,2,1.0,6.0
105,3,10.667376149215707,1.2792266164894885,105,3,3.6666666666666665,5.666666666666667
106,0,6.525846386165774,0.8542412253385123,106,0,7.333333333333333,6.666666666666667
106,1,2.156541860948743,0.08445481107713353,106,1,6.666666666666667,3.0
106,2,2.800177666946427,0.11638873247367472,106,2,1.0,4.333333333333333
106,3,2.2788180995939755,0.14208437996115122,106,3,4.333333333333333,3.0
107,0,6.956940824292744,0.5248224520931747,107,0,6.0,4.333333333333333
107,1,7.053674058219389,0.2854025014815934,107,1,6.666666666666667,4.333333333333333
107,2,8.093580317974569,0.44218567293887157,107,2,1.0,7.0
107,3,8.287532477245573,0.6682877427400659,107,3,4.666666666666667,9.0
108,0,8.125149159055214,0.5228187229380102,108,0,6.666666666666667,1.6666666666666667
108,1,7.144581746753041,0.748663580892354,108,1,5.0,1.0
108,2,6.992043395810589,0.9474204618596263,108,2,3.6666666666666665,1.0
108,3,7.406286651847328,0.4368377694938556,108,3,4.666666666666667,1.3333333333333333
109,0,23.235636348816197,1.0830679895107855,109,0,6.666666666666667,3.6666666666666665
109,1,18.245503022196356,0.6381962124892323,109,1,5.666666666666667,3.6666666666666665
109,2,20.249374225260514,0.7954166926500205,109,2,1.3333333333333333,5.333333333333333
109,3,27.078550617475184,1.271712740372036,109,3,2.6666666666666665,4.666666666666667
110,0,7.753493903325906,0.8156525921097098,110,0,8.333333333333334,3.3333333333333335
110,1,9.45849731454293,0.9529759689207324,110,1,8.0,3.0
110,2,6.670145065229424,0.6143064035185369,110,2,3.3333333333333335,2.0
110,3,10.020794503124579,0.8768233361359282,110,3,3.3333333333333335,6.333333333333333
111,0,15.169765724232596,0.5326144817285664,111,0,5.666666666666667,1.3333333333333333
111,1,13.716083398544134,0.35039677796681595,111,1,6.666666666666667,2.0
111,2,12.242585209597543,0.5842316206655664,111,2,4.333333333333333,3.0
111,3,13.45407845192531,0.8004751560218439,111,3,4.666666666666667,5.0
112,0,18.93790330371243,0.848735731005322,112,0,6.333333333333333,2.6666666666666665
112,1,15.607624276276518,0.3650342926077454,112,1,6.333333333333333,2.3333333333333335
112,2,21.34618840035571,0.9346055351017496,112,2,1.6666666666666667,5.333333333333333
112,3,27.99592394212552,1.282853003007729,112,3,5.0,5.0
113,0,6.774078320211537,0.4630075437483196,113,0,6.666666666666667,3.3333333333333335
113,1,6.560113970697549,0.8284337775133533,113,1,6.666666666666667,2.6666666666666665
113,2,5.849604598693287,0.29976887840752936,113,2,2.0,3.3333333333333335
113,3,7.5276574109717345,0.5327473998201695,113,3,7.666666666666667,5.333333333333333
114,0,4.919996866136936,0.27660433689067987,114,0,6.0,3.3333333333333335
114,1,3.431405297149848,0.05322373914253623,114,1,4.666666666666667,2.3333333333333335
114,2,4.224020371751497,0.11120985393555212,114,2,1.3333333333333333,3.0
114,3,4.821555309846092,0.3950560782957591,114,3,5.0,6.333333333333333
115,0,5.223393987671678,0.18901386614337123,115,0,7.0,2.6666666666666665
115,1,4.737117223025424,0.10452830852946231,115,1,6.0,1.3333333333333333
115,2,5.002827388550159,0.18856148597282563,115,2,2.3333333333333335,1.6666666666666667
